model_variant,wer,cer,sem,ped,kr,kr_coverage,n_samples,prediction_errors,mean_pred_len,median_pred_len,empty_predictions,exact_match_rate
baseline_non_finetuned,0.34702248066040187,0.15395175676723805,0.841702938079834,0.2875637940290188,0.549042752694298,0.9780594831789371,2051,0,60.15894685519259,36.0,0,0.14383227693807898
finetuned_lora,0.21161933440631328,0.057736756379430695,0.9218896627426147,0.06812479821889451,0.7465300526990457,0.9780594831789371,2051,0,62.65724037055095,39.0,0,0.33447098976109213
